Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
,,,Direct,1229,1225,90,,,,,,,,,,,,
- -,MAD,IBZ,Formosa Airlines (VY),Formosa Airlines,284,1:04,,,,,320,,,,,,,
,,,Direct,1229,1225,2439,,,,,,,,,,,,
- -,MAD,ICN,Korean Air (KE),Korean Air,6188,12:52,,,,,332 744,,,,,,,
,,,Direct,1229,3930,3163,,,,,,,,,,,,
- -,MAD,ISL,Turkish Airlines (TK),Turkish Airlines,1684,3:52,,,,,332 738 739 321,,,,,,,
,,,Direct,1229,1701,4951,,,,,,,,,,,,
- -,MAD,JED,Saudi Arabian Airlines (SV),Saudi Arabian Airlines,2804,6:06,,,,,320,,,,,,,
,,,Direct,1229,2072,4533,,,,,,,,,,,,
- -,MAD,JED,Air Europa (UX),Air Europa,2804,6:06,,,,,320,,,,,,,
,,,Direct,1229,2072,90,,,,,,,,,,,,
- -,MAD,JFK,American Airlines (AA),American Airlines,3578,7:39,,,,,757 330 340,,,,,,,
,,,Direct,1229,3797,24,,,,,,,,,,,,
- -,MAD,JFK,Air France (AF),Air France,3578,7:39,,,,,764,,,,,,,
,,,Codeshare,1229,3797,137,,,,,,,,,,,,
- -,MAD,JFK,Finnair (AY),Finnair,3578,7:39,,,,,757 333 346,,,,,,,
,,,Direct,1229,3797,2350,,,,,,,,,,,,
- -,MAD,JFK,British Airways (BA),British Airways,3578,7:39,,,,,757 333 346,,,,,,,
,,,Codeshare,1229,3797,1355,,,,,,,,,,,,
- -,MAD,JFK,Delta Air Lines (DL),Delta Air Lines,3578,7:39,,,,,764,,,,,,,
,,,Direct,1229,3797,2009,,,,,,,,,,,,
- -,MAD,JFK,Iberia Airlines (IB),Iberia Airlines,3578,7:39,,,,,333 346,,,,,,,
,,,Direct,1229,3797,2822,,,,,,,,,,,,
- -,MAD,JFK,KLM Royal Dutch Airlines (KL),KLM Royal Dutch Airlines,3578,7:39,,,,,767,,,,,,,
,,,Codeshare,1229,3797,3090,,,,,,,,,,,,
- -,MAD,JFK,US Airways (US),US Airways,3578,7:39,,,,,757,,,,,,,
,,,Direct,1229,3797,5265,,,,,,,,,,,,
- -,MAD,JFK,Air Europa (UX),Air Europa,3578,7:39,,,,,332,,,,,,,
,,,Direct,1229,3797,90,,,,,,,,,,,,
- -,MAD,KBP,Iberia Airlines (IB),Iberia Airlines,1784,4:04,,,,,737,,,,,,,
,,,Codeshare,1229,2939,2822,,,,,,,,,,,,
- -,MAD,KBP,Ukraine International Airlines (PS),Ukraine International Airlines,1784,4:04,,,,,738 73G,,,,,,,
,,,Direct,1229,2939,5282,,,,,,,,,,,,
- -,MAD,KRK,Ryanair (FR),Ryanair,1306,3:06,,,,,738,,,,,,,
,,,Direct,1229,669,4296,,,,,,,,,,,,
- -,MAD,LAD,Iberia Airlines (IB),Iberia Airlines,3570,7:38,,,,,333,,,,,,,
,,,Direct,1229,951,2822,,,,,,,,,,,,
- -,MAD,LAX,American Airlines (AA),American Airlines,5829,12:09,,,,,340,,,,,,,
,,,Codeshare,1229,3484,24,,,,,,,,,,,,
- -,MAD,LAX,Finnair (AY),Finnair,5829,12:09,,,,,346 343,,,,,,,
,,,Direct,1229,3484,2350,,,,,,,,,,,,
- -,MAD,LAX,British Airways (BA),British Airways,5829,12:09,,,,,346 343,,,,,,,
,,,Codeshare,1229,3484,1355,,,,,,,,,,,,
- -,MAD,LAX,Iberia Airlines (IB),Iberia Airlines,5829,12:09,,,,,346 342,,,,,,,
,,,Direct,1229,3484,2822,,,,,,,,,,,,
- -,MAD,LCG,Alitalia (AZ),Alitalia,315,1:07,,,,,E90,,,,,,,
,,,Codeshare,1229,1220,596,,,,,,,,,,,,
- -,MAD,LCG,Iberia Airlines (IB),Iberia Airlines,315,1:07,,,,,319 320 321,,,,,,,
,,,Direct,1229,1220,2822,,,,,,,,,,,,
- -,MAD,LCG,Air Europa (UX),Air Europa,315,1:07,,,,,E90,,,,,,,
,,,Direct,1229,1220,90,,,,,,,,,,,,
- -,MAD,LCY,British Airways (BA),British Airways,781,2:03,,,,,E90,,,,,,,
,,,Codeshare,1229,503,1355,,,,,,,,,,,,
- -,MAD,LCY,Iberia Airlines (IB),Iberia Airlines,781,2:03,,,,,E90,,,,,,,
,,,Codeshare,1229,503,2822,,,,,,,,,,,,
- -,MAD,LDE,Iberia Airlines (IB),Iberia Airlines,261,1:01,,,,,CR9,,,,,,,
,,,Codeshare,1229,1276,2822,,,,,,,,,,,,
- -,MAD,LEI,Iberia Airlines (IB),Iberia Airlines,258,1:00,,,,,CRK CR2 AT7 CR9,,,,,,,
,,,Codeshare,1229,1213,2822,,,,,,,,,,,,
- -,MAD,LEI,Air Europa (UX),Air Europa,258,1:00,,,,,ATR,,,,,,,
,,,Direct,1229,1213,90,,,,,,,,,,,,
- -,MAD,LGW,easyJet (U2),easyJet,754,2:00,,,,,320 319,,,,,,,
,,,Direct,1229,502,2297,,,,,,,,,,,,
- -,MAD,LGW,Air Europa (UX),Air Europa,754,2:00,,,,,738,,,,,,,
,,,Direct,1229,502,90,,,,,,,,,,,,
- -,MAD,LHR,British Airways (BA),British Airways,773,2:02,,,,,767 320 319 321,,,,,,,
,,,Direct,1229,507,1355,,,,,,,,,,,,
