alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    2.200     0.000   0.643115   0.011450   0.007264   0.018714   0.000000  -0.000000  -0.292574   0.000000  -0.000000  141.0000     0.9471
    2.300     0.000   0.652729   0.011790   0.007283   0.019073   0.000000  -0.000000  -0.295320  -0.000000  -0.000000  141.0000     0.9415
    2.400     0.000   0.662294   0.012141   0.007297   0.019438   0.000000  -0.000000  -0.298077   0.000000  -0.000000  141.0000     0.9361
    2.500     0.000   0.671725   0.012492   0.007324   0.019816   0.000000   0.000000  -0.300763   0.000000  -0.000000  141.0000     0.9309
    2.600     0.000   0.681054   0.012842   0.007362   0.020204   0.000000  -0.000000  -0.303406  -0.000000  -0.000000  141.0000     0.9257
    2.700     0.000   0.690366   0.013178   0.007410   0.020587   0.000000  -0.000000  -0.306079  -0.000000   0.000000  141.0000     0.9207
    2.800     0.000   0.699806   0.013539   0.007436   0.020974   0.000000  -0.000000  -0.308786  -0.000000  -0.000000  141.0000     0.9159
    2.900     0.000   0.709283   0.013919   0.007449   0.021368   0.000000   0.000000  -0.311511  -0.000000  -0.000000  141.0000     0.9112
    3.000     0.000   0.718892   0.014303   0.007453   0.021756   0.000000  -0.000000  -0.314282  -0.000000  -0.000000  141.0000     0.9066
    3.100     0.000   0.728467   0.014692   0.007456   0.022148   0.000000   0.000000  -0.317054  -0.000000  -0.000000  141.0000     0.9022
    3.200     0.000   0.738146   0.015076   0.007458   0.022534   0.000000  -0.000000  -0.319861  -0.000000  -0.000000  141.0000     0.8978
    3.300     0.000   0.747723   0.015473   0.007458   0.022931   0.000000  -0.000000  -0.322644  -0.000000  -0.000000  141.0000     0.8937
    3.400     0.000   0.757238   0.015871   0.007468   0.023339   0.000000  -0.000000  -0.325391  -0.000000  -0.000000  141.0000     0.8896
    3.500     0.000   0.766716   0.016272   0.007485   0.023757   0.000000  -0.000000  -0.328111  -0.000000  -0.000000  141.0000     0.8855
    3.600     0.000   0.776171   0.016676   0.007506   0.024182   0.000000  -0.000000  -0.330810   0.000000   0.000000  141.0000     0.8816
    3.700     0.000   0.785623   0.017086   0.007526   0.024612   0.000000  -0.000000  -0.333506  -0.000000  -0.000000  141.0000     0.8776
    3.800     0.000   0.794986   0.017502   0.007553   0.025055   0.000000  -0.000000  -0.336160   0.000000   0.000000  141.0000     0.8738
    3.900     0.000   0.804417   0.017916   0.007577   0.025493   0.000000  -0.000000  -0.338837  -0.000000  -0.000000  141.0000     0.8701
    4.000     0.000   0.813808   0.018341   0.007596   0.025938   0.000000  -0.000000  -0.341507  -0.000000  -0.000000  141.0000     0.8664
    4.100     0.000   0.823141   0.018765   0.007625   0.026390   0.000000  -0.000000  -0.344151  -0.000000  -0.000000  141.0000     0.8629
    4.200     0.000   0.832463   0.019162   0.007671   0.026834   0.000000  -0.000000  -0.346786  -0.000000  -0.000000  141.0000     0.8593
    4.300     0.000   0.841767   0.019606   0.007693   0.027299   0.000000  -0.000000  -0.349416  -0.000000  -0.000000  141.0000     0.8559
    4.400     0.000   0.851114   0.020048   0.007715   0.027764   0.000000  -0.000000  -0.352059  -0.000000  -0.000000  141.0000     0.8525
    4.500     0.000   0.860446   0.020493   0.007740   0.028233   0.000000  -0.000000  -0.354684   0.000000   0.000000  141.0000     0.8492
    4.600     0.000   0.869781   0.020942   0.007763   0.028705   0.000000  -0.000000  -0.357312  -0.000000  -0.000000  141.0000     0.8460
    4.700     0.000   0.879067   0.021394   0.007786   0.029180   0.000000  -0.000000  -0.359922  -0.000000  -0.000000  141.0000     0.8428
    4.800     0.000   0.888217   0.021851   0.007817   0.029668   0.000000  -0.000000  -0.362476   0.000000  -0.000000  141.0000     0.8397
    4.900     0.000   0.897335   0.022301   0.007854   0.030155   0.000000  -0.000000  -0.364997  -0.000000  -0.000000  141.0000     0.8366
    5.000     0.000   0.906387   0.022755   0.007894   0.030649   0.000000  -0.000000  -0.367484  -0.000000  -0.000000  141.0000     0.8336
    5.100     0.000   0.915419   0.023213   0.007936   0.031149   0.000000  -0.000000  -0.369963  -0.000000  -0.000000  141.0000     0.8305
    5.200     0.000   0.924320   0.023670   0.007987   0.031657   0.000000   0.000000  -0.372354  -0.000000  -0.000000  141.0000     0.8275
    5.300     0.000   0.933204   0.024130   0.008038   0.032169   0.000000  -0.000000  -0.374737  -0.000000  -0.000000  141.0000     0.8246
    5.400     0.000   0.942099   0.024595   0.008088   0.032683   0.000000  -0.000000  -0.377126  -0.000000  -0.000000  141.0000     0.8216
    5.500     0.000   0.950998   0.025064   0.008136   0.033201   0.000000  -0.000000  -0.379517  -0.000000  -0.000000  141.0000     0.8187
    5.600     0.000   0.959901   0.025539   0.008183   0.033721   0.000000  -0.000000  -0.381913  -0.000000  -0.000000  141.0000     0.8159
    5.700     0.000   0.968761   0.026015   0.008231   0.034246   0.000000  -0.000000  -0.384284   0.000000  -0.000000  141.0000     0.8131
    5.800     0.000   0.977597   0.026495   0.008280   0.034775   0.000000  -0.000000  -0.386642  -0.000000  -0.000000  141.0000     0.8103
    5.900     0.000   0.986432   0.026979   0.008326   0.035305   0.000000  -0.000000  -0.389007  -0.000000  -0.000000  141.0000     0.8076
    6.000     0.000   0.995249   0.027467   0.008372   0.035839   0.000000  -0.000000  -0.391365  -0.000000  -0.000000  141.0000     0.8049
    6.100     0.000   1.004028   0.027956   0.008419   0.036375   0.000000  -0.000000  -0.393705  -0.000000  -0.000000  141.0000     0.8023
    6.200     0.000   1.012774   0.028449   0.008466   0.036915   0.000000  -0.000000  -0.396028  -0.000000  -0.000000  141.0000     0.7997
    6.300     0.000   1.021495   0.028944   0.008514   0.037458   0.000000  -0.000000  -0.398339  -0.000000  -0.000000  141.0000     0.7972
    6.400     0.000   1.030200   0.029443   0.008560   0.038003   0.000000  -0.000000  -0.400644  -0.000000  -0.000000  141.0000     0.7946
    6.500     0.000   1.038472   0.029929   0.008623   0.038552   0.000000  -0.000000  -0.402767  -0.000000  -0.000000  141.0000     0.7921
    6.600     0.000   1.046529   0.030412   0.008691   0.039103   0.000000  -0.000000  -0.404816  -0.000000  -0.000000  141.0000     0.7896
    6.700     0.000   1.055034   0.030905   0.008742   0.039648   0.000000  -0.000000  -0.407022  -0.000000  -0.000000  141.0000     0.7871
    6.800     0.000   1.063436   0.031403   0.008795   0.040198   0.000000  -0.000000  -0.409185  -0.000000  -0.000000  141.0000     0.7847
    6.900     0.000   1.071726   0.031900   0.008850   0.040749   0.000000  -0.000000  -0.411324  -0.000000  -0.000000  141.0000     0.7823
