   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    1.600     0.000   0.579874   0.010233   0.005694   0.015928   0.000000  -0.000000  -0.270621   0.000000   0.000000  141.0000     0.9738
    1.700     0.000   0.587407   0.010521   0.005865   0.016386   0.000000  -0.000000  -0.272405   0.000000   0.000000  141.0000     0.9674
    1.800     0.000   0.593171   0.010774   0.006173   0.016947   0.000000  -0.000000  -0.273386   0.000000   0.000000  141.0000     0.9611
    1.900     0.000   0.600301   0.011050   0.006369   0.017419   0.000000  -0.000000  -0.274963   0.000000   0.000000  141.0000     0.9548
    2.000     0.000   0.608060   0.011344   0.006517   0.017861   0.000000  -0.000000  -0.276815   0.000000   0.000000  141.0000     0.9487
    2.100     0.000   0.616158   0.011641   0.006647   0.018288   0.000000  -0.000000  -0.278799  -0.000000   0.000000  141.0000     0.9426
    2.200     0.000   0.624720   0.011964   0.006734   0.018698   0.000000  -0.000000  -0.281002   0.000000  -0.000000  141.0000     0.9368
    2.300     0.000   0.633602   0.012295   0.006800   0.019095   0.000000  -0.000000  -0.283342   0.000000   0.000000  141.0000     0.9310
    2.400     0.000   0.641571   0.012611   0.006930   0.019541   0.000000  -0.000000  -0.285272  -0.000000   0.000000  141.0000     0.9255
    2.500     0.000   0.649825   0.012941   0.007036   0.019976   0.000000  -0.000000  -0.287333   0.000000   0.000000  141.0000     0.9200
    2.600     0.000   0.658674   0.013292   0.007095   0.020387   0.000000  -0.000000  -0.289666   0.000000   0.000000  141.0000     0.9147
    2.700     0.000   0.667515   0.013644   0.007157   0.020801   0.000000  -0.000000  -0.291990   0.000000   0.000000  141.0000     0.9095
    2.800     0.000   0.676376   0.014014   0.007207   0.021221   0.000000  -0.000000  -0.294343   0.000000   0.000000  141.0000     0.9046
    2.900     0.000   0.685243   0.014374   0.007263   0.021637   0.000000  -0.000000  -0.296681   0.000000   0.000000  141.0000     0.8997
    3.000     0.000   0.693582   0.014702   0.007368   0.022070   0.000000  -0.000000  -0.298754   0.000000   0.000000  141.0000     0.8948
    3.100     0.000   0.702501   0.015083   0.007407   0.022490   0.000000  -0.000000  -0.301136   0.000000  -0.000000  141.0000     0.8902
    3.200     0.000   0.711479   0.015477   0.007440   0.022917   0.000000  -0.000000  -0.303548   0.000000  -0.000000  141.0000     0.8857
    3.300     0.000   0.720476   0.015873   0.007476   0.023349   0.000000  -0.000000  -0.305958   0.000000   0.000000  141.0000     0.8813
    3.400     0.000   0.729448   0.016271   0.007515   0.023786   0.000000  -0.000000  -0.308354   0.000000  -0.000000  141.0000     0.8770
    3.500     0.000   0.738401   0.016674   0.007556   0.024230   0.000000  -0.000000  -0.310739   0.000000   0.000000  141.0000     0.8728
    3.600     0.000   0.747284   0.017078   0.007601   0.024679   0.000000  -0.000000  -0.313088   0.000000  -0.000000  141.0000     0.8686
    3.700     0.000   0.756098   0.017481   0.007652   0.025133   0.000000  -0.000000  -0.315404   0.000000   0.000000  141.0000     0.8646
    3.800     0.000   0.764958   0.017892   0.007697   0.025589   0.000000  -0.000000  -0.317744   0.000000   0.000000  141.0000     0.8606
    3.900     0.000   0.773727   0.018315   0.007742   0.026057   0.000000  -0.000000  -0.320057   0.000000   0.000000  141.0000     0.8568
    4.000     0.000   0.782246   0.018729   0.007810   0.026539   0.000000  -0.000000  -0.322246   0.000000   0.000000  141.0000     0.8530
    4.100     0.000   0.791143   0.019101   0.007881   0.026983   0.000000  -0.000000  -0.324524   0.000000  -0.000000  141.0000     0.8491
    4.200     0.000   0.800004   0.019540   0.007917   0.027457   0.000000  -0.000000  -0.326875   0.000000   0.000000  141.0000     0.8455
    4.300     0.000   0.808913   0.019982   0.007949   0.027932   0.000000  -0.000000  -0.329244   0.000000  -0.000000  141.0000     0.8419
    4.400     0.000   0.817820   0.020429   0.007980   0.028409   0.000000  -0.000000  -0.331613   0.000000  -0.000000  141.0000     0.8385
    4.500     0.000   0.826714   0.020879   0.008012   0.028891   0.000000  -0.000000  -0.333976   0.000000   0.000000  141.0000     0.8351
